filename,width,height,class,xmin,ymin,xmax,ymax
31.jpg,286,190,accident,83,2,286,185
9.jpg,327,180,accident,4,3,321,180
164.jpg,275,183,accident,3,2,259,181
163.jpg,299,168,accident,62,2,299,147
29.jpg,266,180,accident,96,46,235,152
85.jpg,318,180,accident,33,21,316,170
132.webp,425,565,accident,32,38,292,290
2.jpg,316,180,accident,123,1,303,180
78.jpg,235,180,accident,28,65,224,165
61.jpg,262,180,accident,54,48,238,171
131.jpg,1280,720,accident,229,79,1280,682
146.png,259,194,accident,22,55,259,166
151.jpg,500,378,accident,21,23,480,378
152.jpg,259,194,accident,6,4,259,172
63.jpg,301,180,accident,9,2,297,175
42.jpg,311,180,accident,13,31,306,178
75.jpg,251,187,accident,10,22,251,157
10.jpg,282,180,accident,1,2,281,179
100.jpg,550,316,accident,26,5,505,304
32.jpg,290,193,accident,1,2,289,193
83.jpg,319,180,accident,30,36,316,162
104.jpg,1200,628,accident,53,10,1159,614
115.jpg,377,250,accident,16,16,361,247
15.jpg,296,180,accident,4,7,296,170
109.jpg,640,368,accident,15,12,633,360
26.jpg,305,190,accident,32,77,234,163
154.jpg,311,162,accident,3,3,306,160
98.jpg,800,531,accident,70,21,782,530
45.png,217,169,accident,7,42,209,149
46.png,296,180,accident,7,17,295,161
4.jpg,288,180,accident,6,6,288,179
150.jpg,289,174,accident,29,6,251,174
94.jpg,960,540,accident,70,44,812,505
11.jpg,307,174,accident,3,9,307,168
123.jpg,610,369,accident,18,107,469,330
35.jpg,278,185,accident,17,7,224,185
125.jpg,960,640,accident,104,48,934,578
143.jpg,640,400,accident,53,49,616,396
52.png,252,180,accident,19,10,249,174
92.jpg,300,200,accident,18,9,290,197
158.jpg,259,194,accident,5,1,247,178
110.jpg,777,428,accident,18,25,680,423
37.jpg,500,334,accident,20,3,419,314
44.png,241,181,accident,16,24,229,148
66.jpg,280,180,accident,14,26,248,165
21.png,311,180,accident,16,20,311,159
36.jpg,248,186,accident,53,62,223,174
101.jpg,550,301,accident,7,11,508,301
80.jpg,233,180,accident,58,56,178,142
90.jpg,285,180,accident,13,8,280,165
53.png,251,180,accident,35,17,241,154
12.jpg,234,180,accident,74,31,232,159
102.jpg,300,197,accident,17,10,300,173
108.jpg,300,200,accident,7,2,300,194
33.jpg,272,182,accident,67,57,228,182
145.png,291,173,accident,14,29,288,161
62.jpg,311,180,accident,30,1,311,179
24.jpg,272,182,accident,87,17,268,182
107.jpg,1280,663,accident,316,43,1113,635
38.jpg,206,180,accident,16,24,206,163
113.jpg,1280,960,accident,115,47,1237,952
70.jpg,257,180,accident,19,15,243,171
17.png,333,186,accident,27,11,274,186
1.jpg,267,180,accident,35,27,165,157
72.jpg,301,180,accident,54,23,275,170
51.png,299,180,accident,23,9,290,169
155.jpg,300,168,accident,4,5,294,168
60.jpg,285,180,accident,9,14,285,176
97.jpg,860,645,accident,51,41,857,645
121.jpg,620,465,accident,68,5,575,374
162.jpg,275,183,accident,6,3,275,175
59.jpg,285,180,accident,34,16,216,177
49.png,252,180,accident,46,51,251,171
119.jpg,1280,720,accident,159,92,1186,677
69.jpg,279,180,accident,3,8,271,180
77.jpg,318,180,accident,106,19,267,135
134.JPG,710,471,accident,78,144,644,470
25.jpg,290,193,accident,62,18,289,171
40.jpg,235,180,accident,28,47,235,170
58.jpg,240,180,accident,39,20,225,162
160.jpg,275,183,accident,2,10,265,182
114.jpg,570,380,accident,127,23,513,380
84.jpg,239,180,accident,36,72,225,173
96.jpg,252,180,accident,34,20,242,179
8.jpg,254,187,accident,9,20,238,167
137.jpg,683,457,accident,133,6,683,457
39.jpg,212,163,accident,38,9,194,152
79.jpg,234,180,accident,35,28,228,145
6.jpg,288,180,accident,9,17,288,175
103.jpg,520,390,accident,3,5,520,321
91.jpg,1421,800,accident,516,26,1421,685
133.jpg,2437,3688,accident,126,961,2437,3488
56.png,285,180,accident,27,14,247,164
55.png,213,180,accident,22,62,208,163
16.png,313,180,accident,3,54,305,174
47.png,335,186,accident,46,4,335,184
64.jpg,301,180,accident,2,7,294,177
13.jpg,262,180,accident,6,13,262,176
153.jpg,183,275,accident,3,14,183,250
87.jpg,312,180,accident,49,14,288,171
93.jpg,1138,493,accident,1,115,508,465
65.jpg,279,180,accident,57,46,279,163
105.jpg,650,433,accident,136,18,582,420
3.jpg,283,180,accident,14,3,283,175
122.jpg,727,465,accident,77,74,726,454
116.jpeg,600,450,accident,13,23,598,373
111.webp,1200,900,accident,4,59,1200,880
34.jpg,251,188,accident,38,43,197,152
126.jpg,2048,1536,accident,304,410,1820,1354
112.jpg,1200,960,accident,7,247,1183,960
139.webp,640,380,accident,83,44,611,368
117.jpg,500,667,accident,1,97,500,611
48.png,282,180,accident,3,3,238,179
88.jpg,333,185,accident,103,54,303,170
95.jpg,412,250,accident,79,26,400,241
74.jpg,238,180,accident,7,33,219,171
5.jpg,333,187,accident,43,8,289,182
157.jpg,275,183,accident,1,1,275,164
136.jpg,1080,1080,accident,1,106,1069,1043
22.png,337,171,accident,17,3,331,168
144.jpg,272,182,accident,8,13,272,178
89.jpg,181,181,accident,24,43,178,169
28.jpg,266,180,accident,12,5,263,176
67.jpg,287,180,accident,2,1,287,175
71.jpg,225,180,accident,50,23,225,157
41.png,322,181,accident,91,19,286,181
50.png,283,180,accident,23,29,246,157
106.jpg,269,180,accident,12,24,259,163
18.jpg,480,360,accident,265,169,360,275
124.jpg,727,465,accident,57,54,658,368
127.jpg,800,450,accident,109,18,800,450
149.jpg,273,185,accident,39,7,258,184
128.jpg,1300,732,accident,96,6,1197,732
148.jpg,296,170,accident,8,1,283,170
142.jpg,650,450,accident,93,72,650,445
27.jpg,285,190,accident,54,65,165,190
7.jpg,289,180,accident,17,10,289,174
129.jpg,510,340,accident,58,9,493,278
130.jpg,2119,1415,accident,239,74,2110,1378
19.png,276,180,accident,26,54,230,167
156.jpg,183,275,accident,4,3,183,235
68.jpg,287,180,accident,15,15,269,180
140.webp,650,450,accident,10,10,650,423
159.jpg,259,194,accident,5,3,258,194
99.jpg,1300,732,accident,37,17,1300,732
86.jpg,238,180,accident,12,15,223,149
82.jpg,311,180,accident,5,5,311,168
30.jpg,302,188,accident,69,49,298,174
14.jpg,222,180,accident,34,21,213,161
141.jpg,640,394,accident,12,8,610,353
54.png,325,182,accident,45,14,282,180
20.png,196,180,accident,30,73,151,162
135.jpg,1280,720,accident,96,172,1258,720
118.jpg,600,451,accident,19,40,600,332
43.jpg,148,181,accident,1,26,142,146
161.jpg,275,183,accident,2,11,269,183
147.png,289,174,accident,18,11,289,172
